name,cuBLAS,Original_IR,CUTLASS
gaunernst/bert-tiny-uncased_1_512,1.0,1.2722021116360738,1.3872681731610903
gaunernst/bert-tiny-uncased_4_512,1.0,1.0595500104857412,1.113004395133696
gaunernst/bert-tiny-uncased_8_512,1.0,1.0885512291554786,1.1210630626435159
gaunernst/bert-mini-uncased_1_512,1.0,1.0480950743008077,1.1934739784272719
gaunernst/bert-mini-uncased_4_512,1.0,1.0877504825999214,1.110419451510128
gaunernst/bert-mini-uncased_8_512,1.0,1.1090286769036901,1.1175758910808973
gaunernst/bert-small-uncased_1_512,1.0,1.0132538019746793,1.0983867803675134
gaunernst/bert-small-uncased_4_512,1.0,1.0789542549966615,1.0823600803487394
gaunernst/bert-small-uncased_8_512,1.0,1.0951252498396384,1.09503072293582
gaunernst/bert-medium-uncased_1_512,1.0,1.0130154725101381,1.0984775720801139
gaunernst/bert-medium-uncased_4_512,1.0,1.0693233056613678,1.082603938058168
gaunernst/bert-medium-uncased_8_512,1.0,1.0993596236295522,1.100448293550496
bert-base-uncased_1_512,1.0,1.0558225586516,1.0964409499042034
bert-base-uncased_4_512,1.0,1.120245853310944,1.1280967386696754
bert-base-uncased_8_512,1.0,1.0999004415322728,1.0999164562354635
bert-large-uncased_1_512,1.0,1.1234089105018292,1.1403324055202908
bert-large-uncased_4_512,1.0,1.1286832158570774,1.1311614071858096
bert-large-uncased_8_512,1.0,1.1189423442906854,1.1198633205204136
