dimension,figure10_(a),figure10_(b)
16_512_64_512,1.0130583488340779,1.4224271862649087
12_512_64_512,1.1762855560013088,1.6494377564111309
8_512_64_512,1.110229619475784,2.072601970504288
4_512_64_512,1.142219361382376,3.4737608278865255
2_512_64_512,1.7409798567870123,4.237988384543188
